routing,ts,type,attacker,attacker_ip,target,target_ip,proto,duration_sec,details,severity,is_anomaly,sim_hour
l2_learn,1785385913.4643128,ping_sweep,home2,10.9.0.2,isp_gw,10.2.0.1,icmp,12,subnet=10.2.0.0/24,low,True,8.9
l2_learn,1785385954.4650433,udp_flood,corp2,10.7.0.2,origin,10.5.0.1,udp,2,port=123 count=189,critical,True,9.6
l2_learn,1785385961.630153,syn_flood,corp2,10.7.0.2,cdn2,10.4.0.2,tcp,7,port=443 count=97,critical,True,9.7
l2_learn,1785386001.7391195,port_scan,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,4,ports=73-88,medium,True,10.4
l2_learn,1785386012.7440093,port_scan,home1,10.9.0.1,root1,10.1.0.1,tcp,14,ports=135-140,medium,True,10.5
l2_learn,1785386060.6585305,port_scan,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,9,ports=343-363,medium,True,11.3
l2_learn,1785386099.6671133,brute_force,home2,10.9.0.2,root1,10.1.0.1,tcp,8,http_brute_force,high,True,12.0
l2_learn,1785386165.6817334,port_scan,home2,10.9.0.2,cdn2,10.4.0.2,tcp,3,ports=734-742,medium,True,13.1
l2_learn,1785386213.6821818,syn_flood,home2,10.9.0.2,origin,10.5.0.1,tcp,12,port=22 count=137,critical,True,13.9
l2_learn,1785386227.6846092,brute_force,corp2,10.7.0.2,root1,10.1.0.1,tcp,2,http_brute_force,high,True,14.1
l2_learn,1785386261.197787,dns_amplify,corp2,10.7.0.2,root1,10.1.0.1,udp,6,dns_amplification,high,True,14.7
l2_learn,1785386330.3342776,slowloris,corp2,10.7.0.2,root1,10.1.0.1,tcp,15,slowloris_connections,high,True,15.8
l2_learn,1785386337.346136,ping_sweep,home2,10.9.0.2,root1,10.1.0.1,icmp,7,subnet=10.1.0.0/24,low,True,16.0
l2_learn,1785386351.3470871,slowloris,corp2,10.7.0.2,cdn2,10.4.0.2,tcp,5,slowloris_connections,high,True,16.2
l2_learn,1785386392.49815,brute_force,home1,10.9.0.1,origin,10.5.0.1,tcp,9,http_brute_force,high,True,16.9
l2_learn,1785386413.6100526,slowloris,mob1,10.8.0.1,root1,10.1.0.1,tcp,13,slowloris_connections,high,True,17.2
l2_learn,1785386457.6546853,syn_flood,home2,10.9.0.2,cdn1,10.4.0.1,tcp,12,port=8080 count=127,critical,True,18.0
l2_learn,1785386509.7474737,slowloris,corp1,10.7.0.1,isp_gw,10.2.0.1,tcp,5,slowloris_connections,high,True,18.8
l2_learn,1785386594.883428,ping_sweep,mob1,10.8.0.1,cdn2,10.4.0.2,icmp,12,subnet=10.4.0.0/24,low,True,20.2
l2_learn,1785386633.9724712,syn_flood,home1,10.9.0.1,cdn2,10.4.0.2,tcp,4,port=80 count=123,critical,True,20.9
l2_learn,1785386662.198362,dns_amplify,home2,10.9.0.2,isp_gw,10.2.0.1,udp,5,dns_amplification,high,True,21.4
rip,1785385425.779094,dns_amplify,mob1,10.8.0.1,origin,10.5.0.1,udp,2,dns_amplification,high,True,0.4
rip,1785385433.7795954,port_scan,home2,10.9.0.2,origin,10.5.0.1,tcp,9,ports=806-821,medium,True,0.6
rip,1785385443.0366457,brute_force,mob1,10.8.0.1,root1,10.1.0.1,tcp,15,http_brute_force,high,True,0.7
rip,1785385508.0424073,brute_force,mob2,10.8.0.2,cdn2,10.4.0.2,tcp,2,http_brute_force,high,True,1.8
rip,1785385514.0427787,dns_amplify,mob1,10.8.0.1,root1,10.1.0.1,udp,4,dns_amplification,high,True,1.9
rip,1785385556.1225624,syn_flood,mob2,10.8.0.2,isp_gw,10.2.0.1,tcp,2,port=22 count=80,critical,True,2.6
rip,1785385590.139827,brute_force,mob2,10.8.0.2,root1,10.1.0.1,tcp,15,http_brute_force,high,True,3.2
rip,1785385595.1468482,slowloris,home1,10.9.0.1,isp_gw,10.2.0.1,tcp,11,slowloris_connections,high,True,3.3
rip,1785385615.1485903,ping_sweep,mob1,10.8.0.1,root1,10.1.0.1,icmp,12,subnet=10.1.0.0/24,low,True,3.6
rip,1785385620.150988,brute_force,corp1,10.7.0.1,cdn2,10.4.0.2,tcp,12,http_brute_force,high,True,3.7
rip,1785385646.151781,udp_flood,mob2,10.8.0.2,origin,10.5.0.1,udp,7,port=1900 count=152,critical,True,4.1
rip,1785385673.1576352,port_scan,corp2,10.7.0.2,cdn2,10.4.0.2,tcp,11,ports=687-697,medium,True,4.6
rip,1785385704.1626246,data_exfil,home2,10.9.0.2,cdn1,10.4.0.1,tcp,10,exfil_rate=586K,critical,True,5.1
rip,1785385748.6637387,dns_amplify,mob1,10.8.0.1,root1,10.1.0.1,udp,3,dns_amplification,high,True,5.8
rip,1785385781.7907217,data_exfil,home1,10.9.0.1,root1,10.1.0.1,tcp,13,exfil_rate=958K,critical,True,6.4
rip,1785385800.890432,dns_amplify,corp1,10.7.0.1,root1,10.1.0.1,udp,6,dns_amplification,high,True,6.7
rip,1785385808.896309,brute_force,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,2,http_brute_force,high,True,6.8
rip,1785385814.8969924,dns_amplify,mob2,10.8.0.2,cdn1,10.4.0.1,udp,6,dns_amplification,high,True,6.9
rip,1785385833.9705534,slowloris,corp1,10.7.0.1,origin,10.5.0.1,tcp,2,slowloris_connections,high,True,7.2
rip,1785385841.971061,port_scan,home2,10.9.0.2,cdn1,10.4.0.1,tcp,10,ports=668-679,medium,True,7.4
rip,1785386003.9181468,data_exfil,home2,10.9.0.2,root1,10.1.0.1,tcp,13,exfil_rate=331K,critical,True,10.1
rip,1785386071.9839091,slowloris,home1,10.9.0.1,root1,10.1.0.1,tcp,6,slowloris_connections,high,True,11.2
rip,1785386090.9901404,ping_sweep,home2,10.9.0.2,cdn2,10.4.0.2,icmp,3,subnet=10.4.0.0/24,low,True,11.5
rip,1785386099.9911294,udp_flood,home2,10.9.0.2,isp_gw,10.2.0.1,udp,6,port=123 count=53,critical,True,11.7
rip,1785386112.1993434,dns_amplify,mob1,10.8.0.1,cdn1,10.4.0.1,udp,14,dns_amplification,high,True,11.9
rip,1785386128.206376,port_scan,mob1,10.8.0.1,origin,10.5.0.1,tcp,3,ports=818-834,medium,True,12.1
rip,1785386139.2065382,udp_flood,mob2,10.8.0.2,cdn2,10.4.0.2,udp,4,port=161 count=57,critical,True,12.3
rip,1785386155.2068105,syn_flood,corp2,10.7.0.2,root1,10.1.0.1,tcp,2,port=443 count=66,critical,True,12.6
rip,1785386169.2079272,slowloris,home1,10.9.0.1,root1,10.1.0.1,tcp,14,slowloris_connections,high,True,12.8
rip,1785386217.9876862,dns_amplify,mob2,10.8.0.2,cdn1,10.4.0.1,udp,2,dns_amplification,high,True,13.6
rip,1785386307.222919,brute_force,corp1,10.7.0.1,isp_gw,10.2.0.1,tcp,6,http_brute_force,high,True,15.1
rip,1785386465.3365493,slowloris,corp2,10.7.0.2,cdn1,10.4.0.1,tcp,4,slowloris_connections,high,True,17.8
rip,1785386505.337489,syn_flood,corp2,10.7.0.2,cdn1,10.4.0.1,tcp,14,port=80 count=130,critical,True,18.4
rip,1785386523.4789,port_scan,mob2,10.8.0.2,isp_gw,10.2.0.1,tcp,15,ports=836-847,medium,True,18.7
rip,1785386535.4805377,ping_sweep,corp1,10.7.0.1,cdn1,10.4.0.1,icmp,13,subnet=10.4.0.0/24,low,True,18.9
rip,1785386555.507905,ping_sweep,home1,10.9.0.1,cdn1,10.4.0.1,icmp,6,subnet=10.4.0.0/24,low,True,19.3
rip,1785386624.971182,udp_flood,corp1,10.7.0.1,origin,10.5.0.1,udp,2,port=1900 count=52,critical,True,20.4
rip,1785386630.986599,port_scan,corp2,10.7.0.2,isp_gw,10.2.0.1,tcp,8,ports=851-866,medium,True,20.5
rip,1785388699.3833194,port_scan,home1,10.9.0.1,cdn2,10.4.0.2,tcp,4,ports=754-765,medium,True,7.0
ospf,1785385430.9146874,syn_flood,corp1,10.7.0.1,origin,10.5.0.1,tcp,8,port=443 count=79,critical,True,0.6
ospf,1785385458.089532,udp_flood,mob1,10.8.0.1,origin,10.5.0.1,udp,9,port=53 count=160,critical,True,1.1
ospf,1785385467.0897708,port_scan,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,14,ports=498-512,medium,True,1.2
ospf,1785385477.1782544,udp_flood,home2,10.9.0.2,root1,10.1.0.1,udp,9,port=161 count=127,critical,True,1.4
ospf,1785385500.2063568,dns_amplify,mob2,10.8.0.2,isp_gw,10.2.0.1,udp,15,dns_amplification,high,True,1.8
ospf,1785385506.2074242,udp_flood,home1,10.9.0.1,origin,10.5.0.1,udp,7,port=123 count=105,critical,True,1.9
ospf,1785385512.208134,data_exfil,corp1,10.7.0.1,isp_gw,10.2.0.1,tcp,7,exfil_rate=245K,critical,True,2.0
ospf,1785385568.4991047,brute_force,home2,10.9.0.2,isp_gw,10.2.0.1,tcp,7,http_brute_force,high,True,2.9
ospf,1785385608.5057788,port_scan,home2,10.9.0.2,isp_gw,10.2.0.1,tcp,9,ports=374-382,medium,True,3.6
ospf,1785385613.5062778,port_scan,corp2,10.7.0.2,isp_gw,10.2.0.1,tcp,11,ports=3-23,medium,True,3.6
ospf,1785385622.508366,dns_amplify,corp1,10.7.0.1,cdn1,10.4.0.1,udp,3,dns_amplification,high,True,3.8
ospf,1785385630.5090384,syn_flood,corp1,10.7.0.1,cdn2,10.4.0.2,tcp,3,port=22 count=196,critical,True,3.9
ospf,1785385648.7544982,port_scan,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,5,ports=823-837,medium,True,4.2
ospf,1785385671.6273377,slowloris,home1,10.9.0.1,root1,10.1.0.1,tcp,5,slowloris_connections,high,True,4.6
ospf,1785385699.7985506,syn_flood,mob1,10.8.0.1,isp_gw,10.2.0.1,tcp,7,port=443 count=177,critical,True,5.1
ospf,1785385722.8016565,brute_force,home1,10.9.0.1,isp_gw,10.2.0.1,tcp,5,http_brute_force,high,True,5.5
ospf,1785385740.8024302,data_exfil,mob2,10.8.0.2,cdn2,10.4.0.2,tcp,10,exfil_rate=716K,critical,True,5.8
ospf,1785385761.8556015,syn_flood,corp1,10.7.0.1,origin,10.5.0.1,tcp,10,port=443 count=136,critical,True,6.1
ospf,1785385781.9077468,slowloris,mob2,10.8.0.2,root1,10.1.0.1,tcp,13,slowloris_connections,high,True,6.5
ospf,1785385790.9082975,port_scan,mob2,10.8.0.2,isp_gw,10.2.0.1,tcp,10,ports=445-461,medium,True,6.6
ospf,1785385808.911173,brute_force,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,7,http_brute_force,high,True,6.9
ospf,1785385821.918713,brute_force,corp1,10.7.0.1,cdn1,10.4.0.1,tcp,6,http_brute_force,high,True,7.1
ospf,1785385828.9262986,dns_amplify,home1,10.9.0.1,cdn1,10.4.0.1,udp,9,dns_amplification,high,True,7.2
ospf,1785385876.6864376,port_scan,mob1,10.8.0.1,origin,10.5.0.1,tcp,5,ports=92-109,medium,True,8.0
ospf,1785385986.7384176,udp_flood,mob1,10.8.0.1,cdn1,10.4.0.1,udp,12,port=123 count=149,critical,True,9.9
ospf,1785386096.1478426,port_scan,home2,10.9.0.2,isp_gw,10.2.0.1,tcp,10,ports=875-881,medium,True,11.7
ospf,1785386116.1512525,brute_force,corp1,10.7.0.1,cdn1,10.4.0.1,tcp,6,http_brute_force,high,True,12.0
ospf,1785386133.1541166,port_scan,home1,10.9.0.1,root1,10.1.0.1,tcp,14,ports=327-340,medium,True,12.3
ospf,1785386148.1584215,port_scan,home2,10.9.0.2,isp_gw,10.2.0.1,tcp,11,ports=482-500,medium,True,12.6
ospf,1785386170.159237,port_scan,home2,10.9.0.2,cdn2,10.4.0.2,tcp,11,ports=36-51,medium,True,12.9
ospf,1785386215.922147,port_scan,home2,10.9.0.2,cdn2,10.4.0.2,tcp,9,ports=76-83,medium,True,13.7
ospf,1785386224.9245484,syn_flood,mob2,10.8.0.2,root1,10.1.0.1,tcp,15,port=80 count=178,critical,True,13.8
ospf,1785386247.9475267,dns_amplify,corp1,10.7.0.1,cdn2,10.4.0.2,udp,13,dns_amplification,high,True,14.2
ospf,1785386262.0145214,brute_force,home2,10.9.0.2,root1,10.1.0.1,tcp,14,http_brute_force,high,True,14.5
ospf,1785386274.027115,ping_sweep,home1,10.9.0.1,isp_gw,10.2.0.1,icmp,8,subnet=10.2.0.0/24,low,True,14.7
ospf,1785386291.6029863,dns_amplify,mob2,10.8.0.2,root1,10.1.0.1,udp,9,dns_amplification,high,True,14.9
ospf,1785386308.6051812,brute_force,home1,10.9.0.1,cdn2,10.4.0.2,tcp,13,http_brute_force,high,True,15.2
ospf,1785386329.6066475,udp_flood,mob2,10.8.0.2,isp_gw,10.2.0.1,udp,6,port=1900 count=62,critical,True,15.6
ospf,1785386337.7526278,port_scan,corp2,10.7.0.2,root1,10.1.0.1,tcp,2,ports=819-827,medium,True,15.7
ospf,1785386425.8022437,syn_flood,mob1,10.8.0.1,root1,10.1.0.1,tcp,12,port=22 count=200,critical,True,17.2
ospf,1785386451.8074875,syn_flood,mob1,10.8.0.1,origin,10.5.0.1,tcp,14,port=22 count=69,critical,True,17.6
ospf,1785386470.808188,syn_flood,mob2,10.8.0.2,isp_gw,10.2.0.1,tcp,7,port=443 count=99,critical,True,17.9
ospf,1785386488.513744,brute_force,home2,10.9.0.2,isp_gw,10.2.0.1,tcp,14,http_brute_force,high,True,18.2
ospf,1785386496.515227,udp_flood,home2,10.9.0.2,origin,10.5.0.1,udp,5,port=123 count=176,critical,True,18.4
ospf,1785386504.516215,port_scan,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,3,ports=312-327,medium,True,18.5
ospf,1785386586.7145178,dns_amplify,home1,10.9.0.1,cdn2,10.4.0.2,udp,4,dns_amplification,high,True,19.9
ospf,1785386607.4556596,syn_flood,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,7,port=443 count=195,critical,True,20.2
ospf,1785386623.7421098,udp_flood,home2,10.9.0.2,isp_gw,10.2.0.1,udp,9,port=53 count=181,critical,True,20.5
ospf,1785386664.805298,syn_flood,corp2,10.7.0.2,isp_gw,10.2.0.1,tcp,4,port=22 count=194,critical,True,21.2
isis,1785385418.0230312,port_scan,home1,10.9.0.1,root1,10.1.0.1,tcp,13,ports=528-535,medium,True,0.3
isis,1785385427.562423,port_scan,corp1,10.7.0.1,origin,10.5.0.1,tcp,8,ports=723-733,medium,True,0.5
isis,1785385433.564512,ping_sweep,home1,10.9.0.1,cdn2,10.4.0.2,icmp,4,subnet=10.4.0.0/24,low,True,0.6
isis,1785385456.7426171,port_scan,home2,10.9.0.2,isp_gw,10.2.0.1,tcp,12,ports=728-733,medium,True,1.0
isis,1785385475.08611,brute_force,corp2,10.7.0.2,cdn1,10.4.0.1,tcp,6,http_brute_force,high,True,1.3
isis,1785385493.0867603,port_scan,corp2,10.7.0.2,root1,10.1.0.1,tcp,4,ports=506-520,medium,True,1.6
isis,1785385513.3348377,brute_force,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,5,http_brute_force,high,True,1.9
isis,1785385531.4305985,dns_amplify,corp1,10.7.0.1,root1,10.1.0.1,udp,14,dns_amplification,high,True,2.2
isis,1785385543.431219,port_scan,corp1,10.7.0.1,cdn2,10.4.0.2,tcp,4,ports=830-838,medium,True,2.4
isis,1785385552.5823112,dns_amplify,corp1,10.7.0.1,cdn1,10.4.0.1,udp,12,dns_amplification,high,True,2.6
isis,1785385558.5824664,brute_force,mob1,10.8.0.1,isp_gw,10.2.0.1,tcp,4,http_brute_force,high,True,2.7
isis,1785385570.7185516,udp_flood,corp1,10.7.0.1,cdn1,10.4.0.1,udp,2,port=1900 count=82,critical,True,2.9
isis,1785385576.7190835,port_scan,home2,10.9.0.2,cdn1,10.4.0.1,tcp,6,ports=43-58,medium,True,3.0
isis,1785385608.7223632,ping_sweep,home1,10.9.0.1,cdn1,10.4.0.1,icmp,9,subnet=10.4.0.0/24,low,True,3.5
isis,1785385615.7250042,brute_force,corp2,10.7.0.2,cdn1,10.4.0.1,tcp,14,http_brute_force,high,True,3.6
isis,1785385635.7252748,dns_amplify,home2,10.9.0.2,isp_gw,10.2.0.1,udp,9,dns_amplification,high,True,4.0
isis,1785385642.7258654,port_scan,corp1,10.7.0.1,cdn1,10.4.0.1,tcp,4,ports=238-247,medium,True,4.1
isis,1785385662.8019717,ping_sweep,corp2,10.7.0.2,isp_gw,10.2.0.1,icmp,8,subnet=10.2.0.0/24,low,True,4.4
isis,1785385690.8061266,port_scan,corp1,10.7.0.1,isp_gw,10.2.0.1,tcp,14,ports=314-324,medium,True,4.9
isis,1785385705.8076117,ping_sweep,mob2,10.8.0.2,isp_gw,10.2.0.1,icmp,14,subnet=10.2.0.0/24,low,True,5.1
isis,1785385725.034748,syn_flood,home1,10.9.0.1,cdn2,10.4.0.2,tcp,7,port=8080 count=69,critical,True,5.5
isis,1785385747.035438,udp_flood,home2,10.9.0.2,origin,10.5.0.1,udp,11,port=53 count=197,critical,True,5.8
isis,1785385760.035626,port_scan,home2,10.9.0.2,cdn2,10.4.0.2,tcp,8,ports=97-117,medium,True,6.0
isis,1785385796.3631597,syn_flood,corp1,10.7.0.1,root1,10.1.0.1,tcp,4,port=22 count=78,critical,True,6.7
isis,1785385824.5423815,dns_amplify,corp1,10.7.0.1,isp_gw,10.2.0.1,udp,5,dns_amplification,high,True,7.1
isis,1785385869.388888,udp_flood,mob1,10.8.0.1,root1,10.1.0.1,udp,6,port=1900 count=151,critical,True,7.9
isis,1785385949.670653,port_scan,corp1,10.7.0.1,root1,10.1.0.1,tcp,8,ports=134-141,medium,True,9.2
isis,1785385960.6727452,slowloris,corp2,10.7.0.2,origin,10.5.0.1,tcp,11,slowloris_connections,high,True,9.4
isis,1785386044.1063266,syn_flood,corp1,10.7.0.1,cdn2,10.4.0.2,tcp,11,port=443 count=94,critical,True,10.8
isis,1785386055.1134224,slowloris,home2,10.9.0.2,cdn1,10.4.0.1,tcp,14,slowloris_connections,high,True,11.0
isis,1785386074.137769,brute_force,mob2,10.8.0.2,cdn2,10.4.0.2,tcp,15,http_brute_force,high,True,11.3
isis,1785386151.5948544,slowloris,mob2,10.8.0.2,cdn2,10.4.0.2,tcp,12,slowloris_connections,high,True,12.6
isis,1785386165.596492,slowloris,mob1,10.8.0.1,origin,10.5.0.1,tcp,15,slowloris_connections,high,True,12.8
isis,1785386191.5986598,udp_flood,home2,10.9.0.2,origin,10.5.0.1,udp,15,port=123 count=142,critical,True,13.2
isis,1785386218.6005948,slowloris,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,13,slowloris_connections,high,True,13.7
isis,1785386228.6030023,brute_force,corp1,10.7.0.1,isp_gw,10.2.0.1,tcp,11,http_brute_force,high,True,13.9
isis,1785386248.6058717,syn_flood,home2,10.9.0.2,root1,10.1.0.1,tcp,8,port=80 count=54,critical,True,14.2
isis,1785386289.8021069,port_scan,home1,10.9.0.1,cdn2,10.4.0.2,tcp,12,ports=146-152,medium,True,14.9
isis,1785386344.1465485,port_scan,corp1,10.7.0.1,cdn2,10.4.0.2,tcp,3,ports=395-405,medium,True,15.8
isis,1785386370.1472683,dns_amplify,corp1,10.7.0.1,root1,10.1.0.1,udp,11,dns_amplification,high,True,16.2
isis,1785386400.2641358,dns_amplify,mob2,10.8.0.2,cdn2,10.4.0.2,udp,6,dns_amplification,high,True,16.7
isis,1785386408.265719,udp_flood,home2,10.9.0.2,cdn2,10.4.0.2,udp,10,port=1900 count=159,critical,True,16.9
isis,1785386426.3066132,dns_amplify,home2,10.9.0.2,origin,10.5.0.1,udp,5,dns_amplification,high,True,17.2
isis,1785386442.307359,dns_amplify,home2,10.9.0.2,cdn2,10.4.0.2,udp,3,dns_amplification,high,True,17.4
isis,1785386473.1648796,syn_flood,home1,10.9.0.1,root1,10.1.0.1,tcp,2,port=8080 count=167,critical,True,17.9
isis,1785386534.166042,port_scan,home2,10.9.0.2,root1,10.1.0.1,tcp,7,ports=374-392,medium,True,19.0
isis,1785386561.1791277,slowloris,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,5,slowloris_connections,high,True,19.4
isis,1785386582.1800296,syn_flood,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,14,port=22 count=127,critical,True,19.8
isis,1785386595.2355704,port_scan,mob2,10.8.0.2,cdn1,10.4.0.1,tcp,12,ports=400-408,medium,True,20.0
eigrp,1785389532.54024,dns_amplify,corp2,10.7.0.2,cdn1,10.4.0.1,udp,9,dns_amplification,high,True,0.4
eigrp,1785389552.582218,udp_flood,home2,10.9.0.2,cdn1,10.4.0.1,udp,4,port=123 count=153,critical,True,0.8
eigrp,1785389603.7940347,syn_flood,corp2,10.7.0.2,cdn1,10.4.0.1,tcp,9,port=22 count=129,critical,True,1.6
eigrp,1785389657.8265886,slowloris,home2,10.9.0.2,cdn2,10.4.0.2,tcp,4,slowloris_connections,high,True,2.5
eigrp,1785389665.8272862,data_exfil,home2,10.9.0.2,origin,10.5.0.1,tcp,2,exfil_rate=955K,critical,True,2.7
eigrp,1785389683.8660333,dns_amplify,home2,10.9.0.2,isp_gw,10.2.0.1,udp,4,dns_amplification,high,True,3.0
eigrp,1785389710.9087667,slowloris,home1,10.9.0.1,cdn1,10.4.0.1,tcp,12,slowloris_connections,high,True,3.4
eigrp,1785389720.9099555,slowloris,mob2,10.8.0.2,cdn2,10.4.0.2,tcp,14,slowloris_connections,high,True,3.6
eigrp,1785389737.9111912,ping_sweep,home1,10.9.0.1,origin,10.5.0.1,icmp,13,subnet=10.5.0.0/24,low,True,3.9
eigrp,1785389749.9123082,ping_sweep,corp2,10.7.0.2,root1,10.1.0.1,icmp,11,subnet=10.1.0.0/24,low,True,4.1
eigrp,1785389770.9818616,udp_flood,home2,10.9.0.2,cdn2,10.4.0.2,udp,10,port=53 count=158,critical,True,4.4
eigrp,1785389781.986117,udp_flood,mob2,10.8.0.2,cdn2,10.4.0.2,udp,5,port=53 count=125,critical,True,4.6
eigrp,1785389795.9349833,udp_flood,corp2,10.7.0.2,isp_gw,10.2.0.1,udp,8,port=1900 count=113,critical,True,4.8
eigrp,1785389809.9501762,port_scan,home2,10.9.0.2,origin,10.5.0.1,tcp,8,ports=751-757,medium,True,5.1
eigrp,1785389835.6991527,ping_sweep,home1,10.9.0.1,root1,10.1.0.1,icmp,14,subnet=10.1.0.0/24,low,True,5.5
eigrp,1785389854.6999793,syn_flood,mob1,10.8.0.1,cdn1,10.4.0.1,tcp,7,port=80 count=118,critical,True,5.8
eigrp,1785389908.8144083,syn_flood,home2,10.9.0.2,isp_gw,10.2.0.1,tcp,12,port=8080 count=103,critical,True,6.7
eigrp,1785389948.494072,dns_amplify,mob1,10.8.0.1,cdn1,10.4.0.1,udp,8,dns_amplification,high,True,7.4
eigrp,1785389958.497394,ping_sweep,home1,10.9.0.1,cdn2,10.4.0.2,icmp,12,subnet=10.4.0.0/24,low,True,7.5
eigrp,1785389998.6260877,port_scan,mob1,10.8.0.1,root1,10.1.0.1,tcp,10,ports=511-516,medium,True,8.2
eigrp,1785390020.6268675,dns_amplify,mob1,10.8.0.1,root1,10.1.0.1,udp,7,dns_amplification,high,True,8.6
eigrp,1785390029.6664317,brute_force,home1,10.9.0.1,origin,10.5.0.1,tcp,15,http_brute_force,high,True,8.7
eigrp,1785390085.940463,port_scan,corp2,10.7.0.2,origin,10.5.0.1,tcp,10,ports=749-768,medium,True,9.7
eigrp,1785390092.5682747,syn_flood,home2,10.9.0.2,cdn1,10.4.0.1,tcp,5,port=443 count=133,critical,True,9.8
eigrp,1785390172.8372598,brute_force,home1,10.9.0.1,cdn1,10.4.0.1,tcp,8,http_brute_force,high,True,11.1
eigrp,1785390214.8741558,port_scan,mob1,10.8.0.1,isp_gw,10.2.0.1,tcp,6,ports=203-209,medium,True,11.8
eigrp,1785390340.435505,port_scan,corp1,10.7.0.1,cdn1,10.4.0.1,tcp,14,ports=38-53,medium,True,13.9
eigrp,1785390425.7662857,udp_flood,home2,10.9.0.2,cdn2,10.4.0.2,udp,5,port=53 count=139,critical,True,15.3
eigrp,1785390511.0340457,port_scan,home1,10.9.0.1,cdn1,10.4.0.1,tcp,9,ports=814-833,medium,True,16.7
eigrp,1785390537.0671268,dns_amplify,corp1,10.7.0.1,isp_gw,10.2.0.1,udp,12,dns_amplification,high,True,17.2
eigrp,1785390601.4156787,port_scan,home1,10.9.0.1,isp_gw,10.2.0.1,tcp,4,ports=809-817,medium,True,18.2
eigrp,1785390621.439256,brute_force,home1,10.9.0.1,root1,10.1.0.1,tcp,6,http_brute_force,high,True,18.6
eigrp,1785390634.5987394,slowloris,corp2,10.7.0.2,root1,10.1.0.1,tcp,15,slowloris_connections,high,True,18.8
