routing,ts,type,client,server,proto,rate,load_factor,status,response_ms,severity,rebuffer,buffer_ratio
l2_learn,1785385466.138899,anomaly:port_scan,home2,root1,tcp,ports=326-343,,,,medium,,
l2_learn,1785385467.2374134,dns,home2,isp_gw,udp,1K,0.16,,,,,
l2_learn,1785385467.258697,http,mob2,cdn1,tcp,POST:large.bin,,200.0,4343.85,,,
l2_learn,1785385467.7465577,bulk,mob2,root1,tcp,902K,0.22,,,,,
l2_learn,1785385468.3879292,http,mob2,isp_gw,tcp,GET:small.bin,,200.0,281.73,,,
l2_learn,1785385469.509852,video,mob1,origin,udp,601K,0.16,,,,,
l2_learn,1785385469.9808717,http,corp1,cdn2,tcp,GET:medium.bin,,200.0,152.64,,,
l2_learn,1785385470.5517905,http,home2,cdn1,tcp,GET:medium.bin,,200.0,0.01,,,
l2_learn,1785385470.8746762,ssh,home2,origin,tcp,3K,0.21,,,,,
l2_learn,1785385471.407508,http,corp2,cdn2,tcp,GET:large.bin,,200.0,525.1,,,
l2_learn,1785385471.5061069,bulk,corp1,cdn2,tcp,1843K,0.25,,,,,
l2_learn,1785385471.9590886,http,corp1,cdn2,tcp,GET:medium.bin,,200.0,156.59,,,
l2_learn,1785385472.162582,anomaly:udp_flood,corp2,cdn1,udp,port=123 count=138,,,,critical,,
l2_learn,1785385472.589146,bulk,corp2,cdn1,tcp,985K,0.19,,,,,
l2_learn,1785385473.182139,http,mob2,cdn1,tcp,GET:large.bin,,200.0,0.01,,,
l2_learn,1785385474.411339,https,mob2,isp_gw,tcp,391K,0.18,,,,,
l2_learn,1785385475.312219,streaming,mob2,cdn1,tcp,434K,0.22,,,,,
l2_learn,1785385475.692348,http,mob2,root1,tcp,POST:small.bin,,200.0,2156.01,,,
l2_learn,1785385476.123473,web,mob2,root1,tcp,109K,0.22,,,,,
l2_learn,1785385477.048623,email,home1,cdn1,tcp,32K,0.23,,,,,
l2_learn,1785385477.4981308,iot,mob2,origin,udp,1K,0.22,,,,,
l2_learn,1785385478.793813,bulk,home2,root1,tcp,1565K,0.23,,,,,
l2_learn,1785385479.5549362,http,mob2,isp_gw,tcp,GET:large.bin,,301.0,2679.94,,,
l2_learn,1785385480.1959634,bulk,home1,cdn1,tcp,1265K,0.24,,,,,
l2_learn,1785385480.838041,http,home1,cdn2,tcp,GET:index.html,,200.0,359.31,,,
l2_learn,1785385481.6762047,web,mob1,origin,tcp,105K,0.23,,,,,
l2_learn,1785385482.5907085,http,corp1,root1,tcp,GET:large.bin,,200.0,412.93,,,
l2_learn,1785385482.6229763,video,home2,cdn2,udp,852K,0.24,,,,,
l2_learn,1785385484.089073,web,mob2,cdn1,tcp,299K,0.19,,,,,
l2_learn,1785385484.76535,http,mob2,origin,tcp,POST:large.bin,,200.0,1540.64,,,
l2_learn,1785385485.1689513,web,mob1,isp_gw,tcp,35K,0.15,,,,,
l2_learn,1785385486.058422,http,corp2,root1,tcp,GET:medium.bin,,200.0,190.13,,,
l2_learn,1785385486.7856767,video,corp1,cdn1,udp,86K,0.17,,,,,
l2_learn,1785385488.0677524,https,corp2,isp_gw,tcp,410K,0.17,,,,,
l2_learn,1785385488.500923,http,corp2,isp_gw,tcp,POST:index.html,,200.0,1642.71,,,
l2_learn,1785385489.337861,web,mob1,isp_gw,tcp,81K,0.2,,,,,
l2_learn,1785385489.7383168,video,mob2,cdn1,udp,72K,0.14,,,,,
l2_learn,1785385490.8187945,http,home2,cdn1,tcp,GET:medium.bin,,200.0,1470.18,,,
l2_learn,1785385490.943077,dns,corp1,isp_gw,udp,3K,0.17,,,,,
l2_learn,1785385491.7274263,http,corp2,isp_gw,tcp,GET:large.bin,,200.0,195.76,,,
l2_learn,1785385492.3904693,web,corp2,root1,tcp,108K,0.19,,,,,
l2_learn,1785385493.3864808,http,mob2,root1,tcp,GET:small.bin,,200.0,383.89,,,
l2_learn,1785385493.9112887,web,corp2,root1,tcp,96K,0.19,,,,,
l2_learn,1785385494.8449042,http,corp1,cdn1,tcp,GET:index.html,,503.0,82.79,,,
l2_learn,1785385495.2225797,web,home2,cdn2,tcp,33K,0.14,,,,,
l2_learn,1785385495.4872591,http,corp1,origin,tcp,GET:medium.bin,,200.0,164.57,,,
l2_learn,1785385495.7404177,bulk,mob2,origin,tcp,1115K,0.16,,,,,
l2_learn,1785385496.4754865,http,mob1,root1,tcp,GET:medium.bin,,200.0,626.76,,,
l2_learn,1785385497.5233262,web,corp1,isp_gw,tcp,290K,0.21,,,,,
l2_learn,1785385499.2880745,bulk,mob1,origin,tcp,587K,0.14,,,,,
l2_learn,1785385499.770095,http,mob1,cdn2,tcp,POST:large.bin,,200.0,2873.76,,,
l2_learn,1785385500.8343253,web,mob1,cdn1,tcp,240K,0.19,,,,,
l2_learn,1785385501.0258963,http,home2,cdn2,tcp,GET:medium.bin,,200.0,465.46,,,
l2_learn,1785385502.1428711,streaming,mob1,cdn2,tcp,667K,0.18,,,,,
l2_learn,1785385502.1631248,anomaly:udp_flood,corp2,cdn1,udp,port=53 count=158,,,,critical,,
l2_learn,1785385502.5665352,dns,home2,cdn2,udp,0K,0.19,,,,,
l2_learn,1785385503.5392373,http,mob1,cdn2,tcp,GET:large.bin,,200.0,1164.51,,,
l2_learn,1785385504.0347164,bulk,home2,origin,tcp,869K,0.14,,,,,
l2_learn,1785385504.3330207,http,corp1,cdn2,tcp,GET:medium.bin,,200.0,208.23,,,
l2_learn,1785385505.9782112,bulk,mob2,origin,tcp,1154K,0.22,,,,,
l2_learn,1785385506.262489,http,mob2,root1,tcp,GET:index.html,,304.0,1289.43,,,
l2_learn,1785385507.9181411,https,mob1,cdn2,tcp,56K,0.14,,,,,
l2_learn,1785385508.9399076,bulk,corp1,cdn2,tcp,853K,0.18,,,,,
l2_learn,1785385510.5465026,p2p,home1,root1,tcp,129K,0.17,,,,,
l2_learn,1785385511.1537917,cloud,home2,isp_gw,tcp,77K,0.13,,,,,
l2_learn,1785385512.9396958,video,home2,root1,udp,330K,0.14,,,,,
l2_learn,1785385514.8255954,web,home1,cdn2,tcp,130K,0.21,,,,,
l2_learn,1785385516.3896549,web,mob1,origin,tcp,51K,0.14,,,,,
l2_learn,1785385517.4696546,video,corp2,cdn1,udp,431K,0.17,,,,,
l2_learn,1785385518.386663,video,mob1,cdn1,udp,601K,0.14,,,,,
l2_learn,1785385520.0625236,ssh,mob2,cdn2,tcp,4K,0.14,,,,,
l2_learn,1785385521.8932216,video,corp1,cdn2,udp,283K,0.19,,,,,
l2_learn,1785385522.630315,video,home1,root1,udp,832K,0.17,,,,,
l2_learn,1785385523.500784,web,mob1,cdn2,tcp,21K,0.13,,,,,
l2_learn,1785385525.1678796,iot,corp1,cdn1,udp,0K,0.15,,,,,
l2_learn,1785385525.3599298,http,home2,isp_gw,tcp,GET:index.html,,200.0,17959.67,,,
l2_learn,1785385527.198491,video,mob1,origin,udp,137K,0.17,,,,,
l2_learn,1785385528.1237872,http,home1,root1,tcp,GET:index.html,,200.0,2260.96,,,
l2_learn,1785385529.003102,dns,corp2,isp_gw,udp,1K,0.18,,,,,
l2_learn,1785385530.500654,dns,home2,cdn2,udp,0K,0.19,,,,,
l2_learn,1785385530.8274212,video,corp2,root1,udp,305K,0.19,,,,,
l2_learn,1785385532.662117,bulk,corp2,cdn2,tcp,564K,0.18,,,,,
l2_learn,1785385533.3022091,http,corp1,origin,tcp,GET:index.html,,200.0,3884.02,,,
l2_learn,1785385534.6309547,web,home1,isp_gw,tcp,40K,0.14,,,,,
l2_learn,1785385535.1198566,web,corp2,cdn2,tcp,89K,0.14,,,,,
l2_learn,1785385535.2181394,http,home2,cdn1,tcp,GET:medium.bin,,200.0,1327.13,,,
l2_learn,1785385536.1781569,http,mob2,origin,tcp,GET:index.html,,200.0,539.98,,,
l2_learn,1785385536.5205705,video,corp2,isp_gw,udp,205K,0.13,,,,,
l2_learn,1785385538.082343,video,corp2,origin,udp,350K,0.11,,,,,
l2_learn,1785385538.7307932,web,mob1,cdn1,tcp,196K,0.15,,,,,
l2_learn,1785385539.395897,web,corp2,isp_gw,tcp,30K,0.13,,,,,
l2_learn,1785385540.1223338,web,corp1,origin,tcp,80K,0.13,,,,,
l2_learn,1785385540.5065403,http,home1,cdn2,tcp,GET:large.bin,,200.0,3911.86,,,
l2_learn,1785385541.275347,anomaly:udp_flood,home1,cdn1,udp,port=1900 count=138,,,,critical,,
l2_learn,1785385542.0541563,ssh,mob2,cdn1,tcp,1K,0.13,,,,,
l2_learn,1785385542.3295436,http,corp2,root1,tcp,GET:index.html,,200.0,1507.12,,,
l2_learn,1785385542.3891945,web,mob1,cdn1,tcp,237K,0.17,,,,,
l2_learn,1785385543.1624093,video,home2,origin,udp,571K,0.18,,,,,
l2_learn,1785385545.314467,video,corp2,cdn1,udp,139K,0.15,,,,,
l2_learn,1785385547.1746953,streaming,mob2,origin,tcp,340K,0.1,,,,,
l2_learn,1785385548.517548,iot,mob1,isp_gw,udp,1K,0.17,,,,,
l2_learn,1785385551.5583606,http,home2,isp_gw,tcp,POST:medium.bin,,200.0,7471.68,,,
l2_learn,1785385551.5593011,cloud,mob2,cdn2,tcp,181K,0.13,,,,,
l2_learn,1785385552.774764,https,mob1,cdn2,tcp,370K,0.14,,,,,
l2_learn,1785385553.130358,anomaly:ping_sweep,mob1,origin,icmp,subnet=10.5.0.0/24,,,,low,,
l2_learn,1785385554.3181655,http,corp1,cdn2,tcp,GET:medium.bin,,404.0,2278.92,,,
l2_learn,1785385554.4069345,email,home2,origin,tcp,7K,0.13,,,,,
l2_learn,1785385555.4336784,http,home1,origin,tcp,GET:index.html,,200.0,226.5,,,
l2_learn,1785385555.514105,dns,home2,cdn2,udp,0K,0.1,,,,,
l2_learn,1785385557.2446787,dns,corp1,cdn1,udp,1K,0.1,,,,,
l2_learn,1785385559.020302,video,home1,origin,udp,414K,0.13,,,,,
l2_learn,1785385559.5636425,dns,mob1,origin,udp,1K,0.14,,,,,
l2_learn,1785385560.0373764,bulk,mob1,cdn1,tcp,539K,0.15,,,,,
l2_learn,1785385561.1261888,https,home2,origin,tcp,136K,0.1,,,,,
l2_learn,1785385562.723889,web,home1,origin,tcp,49K,0.12,,,,,
l2_learn,1785385563.3270462,http,mob1,cdn1,tcp,POST:large.bin,,301.0,6344.66,,,
l2_learn,1785385563.799411,video,home1,origin,udp,258K,0.1,,,,,
l2_learn,1785385564.5238934,ssh,mob2,root1,tcp,2K,0.11,,,,,
l2_learn,1785385565.3938217,http,mob1,origin,tcp,GET:large.bin,,304.0,870.81,,,
l2_learn,1785385566.426359,video,mob2,root1,udp,247K,0.1,,,,,
l2_learn,1785385566.691763,anomaly:slowloris,home1,root1,tcp,slowloris_connections,,,,high,,
l2_learn,1785385566.7940657,web,mob2,cdn2,tcp,175K,0.12,,,,,
l2_learn,1785385566.8779116,http,corp1,origin,tcp,GET:small.bin,,200.0,126.09,,,
l2_learn,1785385567.4056556,http,corp1,cdn2,tcp,GET:index.html,,200.0,138.09,,,
l2_learn,1785385568.751814,web,home2,cdn1,tcp,279K,0.16,,,,,
l2_learn,1785385568.79436,http,home1,cdn2,tcp,GET:index.html,,200.0,196.19,,,
l2_learn,1785385569.5960562,dns,home2,origin,udp,0K,0.11,,,,,
l2_learn,1785385570.8429,http,home1,isp_gw,tcp,GET:large.bin,,200.0,572.57,,,
l2_learn,1785385571.16621,dns,corp2,origin,udp,1K,0.1,,,,,
l2_learn,1785385572.0517647,dns,corp2,root1,udp,1K,0.12,,,,,
l2_learn,1785385572.677065,web,mob2,origin,tcp,198K,0.11,,,,,
l2_learn,1785385573.1655078,video,home2,isp_gw,udp,92K,0.1,,,,,
l2_learn,1785385573.6470995,http,corp1,cdn1,tcp,GET:large.bin,,200.0,2151.02,,,
l2_learn,1785385573.7684314,web,corp1,isp_gw,tcp,135K,0.1,,,,,
l2_learn,1785385574.3022902,ssh,mob1,root1,tcp,2K,0.14,,,,,
l2_learn,1785385574.6110716,http,corp2,origin,tcp,GET:index.html,,200.0,0.01,,,
l2_learn,1785385575.352867,web,mob1,isp_gw,tcp,110K,0.11,,,,,
l2_learn,1785385575.821112,http,corp1,origin,tcp,GET:large.bin,,200.0,0.01,,,
l2_learn,1785385576.3202803,cloud,corp1,isp_gw,tcp,253K,0.1,,,,,
l2_learn,1785385577.8753831,https,corp1,cdn2,tcp,246K,0.1,,,,,
l2_learn,1785385578.1793633,anomaly:slowloris,mob2,cdn1,tcp,slowloris_connections,,,,high,,
l2_learn,1785385578.2291088,https,mob1,isp_gw,tcp,217K,0.12,,,,,
l2_learn,1785385578.2462523,http,mob2,origin,tcp,GET:index.html,,500.0,1063.51,,,
l2_learn,1785385579.3610778,video,home2,cdn2,udp,477K,0.11,,,,,
l2_learn,1785385579.4699209,http,home1,isp_gw,tcp,GET:medium.bin,,404.0,574.83,,,
l2_learn,1785385580.191988,voip,home2,root1,udp,10K,0.14,,,,,
l2_learn,1785385580.5661771,http,corp2,cdn1,tcp,GET:medium.bin,,200.0,295.16,,,
l2_learn,1785385582.1435318,bulk,corp2,isp_gw,tcp,525K,0.1,,,,,
l2_learn,1785385583.1224084,http,mob2,origin,tcp,POST:medium.bin,,404.0,1659.46,,,
l2_learn,1785385583.1813834,anomaly:port_scan,corp2,cdn1,tcp,ports=842-862,,,,medium,,
l2_learn,1785385583.2150578,cloud,mob1,origin,tcp,194K,0.11,,,,,
l2_learn,1785385583.926632,http,corp1,isp_gw,tcp,GET:index.html,,200.0,57.64,,,
l2_learn,1785385584.6198604,streaming,corp2,cdn1,tcp,323K,0.16,,,,,
l2_learn,1785385586.8155727,web,corp1,cdn2,tcp,60K,0.1,,,,,
l2_learn,1785385587.8745904,streaming,home1,origin,tcp,274K,0.1,,,,,
l2_learn,1785385588.1816254,anomaly:udp_flood,home2,root1,udp,port=123 count=115,,,,critical,,
l2_learn,1785385588.4601882,http,mob2,root1,tcp,POST:medium.bin,,304.0,3137.07,,,
l2_learn,1785385589.0599062,gaming,home2,cdn1,udp,13K,0.1,,,,,
l2_learn,1785385589.227749,http,home2,origin,tcp,POST:large.bin,,200.0,0.01,,,
l2_learn,1785385590.21829,http,corp1,isp_gw,tcp,GET:medium.bin,,200.0,0.01,,,
l2_learn,1785385590.7515447,https,mob1,cdn2,tcp,22K,0.1,,,,,
l2_learn,1785385590.9248488,http,corp2,isp_gw,tcp,GET:index.html,,200.0,84.12,,,
l2_learn,1785385591.941114,https,corp1,cdn2,tcp,453K,0.15,,,,,
l2_learn,1785385591.9942195,http,mob1,isp_gw,tcp,GET:index.html,,200.0,203.33,,,
l2_learn,1785385593.114444,web,corp1,origin,tcp,69K,0.12,,,,,
l2_learn,1785385593.5752091,http,home1,origin,tcp,GET:medium.bin,,200.0,432.84,,,
l2_learn,1785385595.0764446,video,mob2,origin,udp,313K,0.11,,,,,
l2_learn,1785385595.245495,http,mob1,isp_gw,tcp,GET:medium.bin,,200.0,395.31,,,
l2_learn,1785385595.457169,email,mob2,cdn1,tcp,11K,0.13,,,,,
l2_learn,1785385597.245612,https,home1,isp_gw,tcp,128K,0.11,,,,,
l2_learn,1785385598.1836486,anomaly:ping_sweep,home1,isp_gw,icmp,subnet=10.2.0.0/24,,,,low,,
l2_learn,1785385598.3714592,http,corp1,isp_gw,tcp,POST:index.html,,200.0,1699.5,,,
l2_learn,1785385598.586514,video,home2,root1,udp,284K,0.12,,,,,
l2_learn,1785385599.420649,http,corp1,origin,tcp,GET:large.bin,,200.0,236.92,,,
l2_learn,1785385599.7765086,https,home1,cdn2,tcp,188K,0.1,,,,,
l2_learn,1785385601.4272044,web,corp2,origin,tcp,34K,0.14,,,,,
l2_learn,1785385601.9699824,http,mob1,origin,tcp,POST:index.html,,200.0,1613.27,,,
l2_learn,1785385602.7995489,p2p,mob1,cdn2,tcp,69K,0.1,,,,,
l2_learn,1785385603.3203173,http,corp2,cdn1,tcp,GET:large.bin,,200.0,416.09,,,
l2_learn,1785385604.6440449,https,mob2,isp_gw,tcp,93K,0.15,,,,,
l2_learn,1785385605.0901597,https,mob1,origin,tcp,31K,0.1,,,,,
l2_learn,1785385605.446714,http,home2,isp_gw,tcp,GET:medium.bin,,200.0,821.38,,,
l2_learn,1785385606.1882062,anomaly:ping_sweep,corp2,cdn1,icmp,subnet=10.4.0.0/24,,,,low,,
l2_learn,1785385607.0301173,video,home2,cdn1,udp,455K,0.11,,,,,
