routing,ts,client,client_ip,dns_server,dns_server_ip,domain,query_type,ttl,response_time_ms,cache_hit,source,rcode,is_suspicious
l2_learn,1785385529.158233,corp2,10.7.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.13,True,cache,NOERROR,False
l2_learn,1785385531.9294903,home1,10.9.0.1,root1,10.1.0.1,news.portal.org,A,90,1002.83,False,authoritative,NOERROR,False
l2_learn,1785385535.4376633,corp1,10.7.0.1,root1,10.1.0.1,game.server.gg,A,15,2006.59,,authoritative,NOERROR,False
l2_learn,1785385541.352967,corp1,10.7.0.1,root1,10.1.0.1,example.com,A,300,0.46,True,cache,NOERROR,False
l2_learn,1785385543.0434234,mob2,10.8.0.2,root1,10.1.0.1,social.media.app,A,60,0.47,True,cache,NOERROR,False
l2_learn,1785385544.9382052,home2,10.9.0.2,root1,10.1.0.1,api.service.io,A,120,0.01,,authoritative,NOERROR,False
l2_learn,1785385547.4372325,home1,10.9.0.1,root1,10.1.0.1,video.stream.tv,A,30,429.0,,recursive,NOERROR,False
l2_learn,1785385550.5541456,home1,10.9.0.1,root1,10.1.0.1,malware.bad.evil,A,0,130.75,False,authoritative,NXDOMAIN,True
l2_learn,1785385552.3696449,home2,10.9.0.2,root1,10.1.0.1,mail.example.com,MX,3600,1544.46,,authoritative,NOERROR,False
l2_learn,1785385555.4149246,home2,10.9.0.2,root1,10.1.0.1,video.stream.tv,A,30,111.64,False,authoritative,NOERROR,False
l2_learn,1785385558.8861902,home2,10.9.0.2,root1,10.1.0.1,c2.hidden.onion,A,0,0.04,False,recursive,NOERROR,True
l2_learn,1785385560.1917222,corp1,10.7.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.37,True,cache,NOERROR,False
l2_learn,1785385561.2706974,home1,10.9.0.1,root1,10.1.0.1,login.secure.bank,A,180,235.44,,recursive,NOERROR,False
l2_learn,1785385566.690097,corp2,10.7.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.28,True,cache,NOERROR,False
l2_learn,1785385567.6631472,corp2,10.7.0.2,root1,10.1.0.1,c2.hidden.onion,A,0,173.44,False,recursive,NXDOMAIN,True
l2_learn,1785385569.9564428,corp2,10.7.0.2,root1,10.1.0.1,video.stream.tv,A,30,7007.2,,authoritative,NOERROR,False
l2_learn,1785385579.4123454,corp2,10.7.0.2,root1,10.1.0.1,mail.example.com,MX,3600,0.45,True,cache,NOERROR,False
l2_learn,1785385582.4860868,home2,10.9.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,330.2,,recursive,NOERROR,False
l2_learn,1785385585.7861335,mob2,10.8.0.2,root1,10.1.0.1,login.secure.bank,A,180,0.02,,authoritative,NOERROR,False
l2_learn,1785385586.3152282,mob1,10.8.0.1,root1,10.1.0.1,malware.bad.evil,A,0,1048.23,,authoritative,NXDOMAIN,True
l2_learn,1785385589.857976,corp1,10.7.0.1,root1,10.1.0.1,login.secure.bank,A,180,2256.56,False,recursive,NOERROR,False
l2_learn,1785385592.7653484,home2,10.9.0.2,root1,10.1.0.1,mail.example.com,MX,3600,0.5,True,cache,NOERROR,False
l2_learn,1785385593.5427296,home1,10.9.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.37,True,cache,NOERROR,False
l2_learn,1785385596.9740906,home1,10.9.0.1,root1,10.1.0.1,example.com,A,300,0.14,True,cache,NOERROR,False
l2_learn,1785385599.6277192,mob2,10.8.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,176.47,,authoritative,NOERROR,False
l2_learn,1785385600.7118917,home2,10.9.0.2,root1,10.1.0.1,cloud.storage.io,AAAA,120,805.03,,authoritative,NOERROR,False
l2_learn,1785385603.205048,home1,10.9.0.1,root1,10.1.0.1,iot-hub.device.net,A,600,116.05,,authoritative,NOERROR,False
l2_learn,1785385605.8259227,home1,10.9.0.1,root1,10.1.0.1,api.service.io,A,120,100.5,,authoritative,NOERROR,False
l2_learn,1785385607.3685346,home1,10.9.0.1,root1,10.1.0.1,api.service.io,A,120,0.38,True,cache,NOERROR,False
l2_learn,1785385608.0287,mob1,10.8.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,145.91,,authoritative,NOERROR,False
l2_learn,1785385609.809457,corp1,10.7.0.1,root1,10.1.0.1,video.stream.tv,A,30,0.02,False,authoritative,NOERROR,False
l2_learn,1785385610.791952,home2,10.9.0.2,root1,10.1.0.1,cdn.example.com,CNAME,60,251.83,,recursive,NOERROR,False
l2_learn,1785385611.8702536,home1,10.9.0.1,root1,10.1.0.1,api.service.io,A,120,0.11,True,cache,NOERROR,False
l2_learn,1785385612.749122,corp1,10.7.0.1,root1,10.1.0.1,api.service.io,A,120,949.41,,recursive,NOERROR,False
l2_learn,1785385616.3107915,mob1,10.8.0.1,root1,10.1.0.1,login.secure.bank,A,180,232.41,False,recursive,NOERROR,False
l2_learn,1785385617.8421688,corp1,10.7.0.1,root1,10.1.0.1,malware.bad.evil,A,0,94.94,,recursive,NXDOMAIN,True
l2_learn,1785385620.2980926,mob1,10.8.0.1,root1,10.1.0.1,api.service.io,A,120,0.03,,recursive,NOERROR,False
l2_learn,1785385624.063912,corp1,10.7.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,43.41,False,authoritative,NOERROR,False
l2_learn,1785385626.8398173,home2,10.9.0.2,root1,10.1.0.1,game.server.gg,A,15,0.02,,authoritative,NOERROR,False
l2_learn,1785385630.786096,mob2,10.8.0.2,root1,10.1.0.1,search.engine.com,A,45,186.04,,authoritative,NOERROR,False
l2_learn,1785385634.76372,mob1,10.8.0.1,root1,10.1.0.1,mail.example.com,MX,3600,146.8,,authoritative,NOERROR,False
l2_learn,1785385636.6420658,corp2,10.7.0.2,root1,10.1.0.1,api.service.io,A,120,137.09,False,recursive,NOERROR,False
l2_learn,1785385638.0176957,corp2,10.7.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.39,True,cache,NOERROR,False
l2_learn,1785385639.1761608,home1,10.9.0.1,root1,10.1.0.1,news.portal.org,A,90,119.28,False,authoritative,NOERROR,False
l2_learn,1785385640.5040498,corp2,10.7.0.2,root1,10.1.0.1,mail.example.com,MX,3600,0.45,True,cache,NOERROR,False
l2_learn,1785385643.4686408,home1,10.9.0.1,root1,10.1.0.1,news.portal.org,A,90,0.38,True,cache,NOERROR,False
l2_learn,1785385644.1517265,corp1,10.7.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,0.48,True,cache,NOERROR,False
l2_learn,1785385646.5499558,home1,10.9.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,104.28,,authoritative,NOERROR,False
l2_learn,1785385649.9434583,corp2,10.7.0.2,root1,10.1.0.1,video.stream.tv,A,30,84.74,False,recursive,NOERROR,False
l2_learn,1785385653.042646,corp1,10.7.0.1,root1,10.1.0.1,malware.bad.evil,A,0,43.41,False,authoritative,NXDOMAIN,True
l2_learn,1785385657.009871,mob2,10.8.0.2,root1,10.1.0.1,api.service.io,A,120,178.56,False,authoritative,NOERROR,False
l2_learn,1785385660.158653,home2,10.9.0.2,root1,10.1.0.1,malware.bad.evil,A,0,259.15,,authoritative,SERVFAIL,True
l2_learn,1785385661.2861073,home2,10.9.0.2,root1,10.1.0.1,game.server.gg,A,15,382.68,False,recursive,NOERROR,False
l2_learn,1785385664.0220654,mob1,10.8.0.1,root1,10.1.0.1,search.engine.com,A,45,155.92,False,authoritative,NOERROR,False
l2_learn,1785385665.418027,mob1,10.8.0.1,root1,10.1.0.1,mail.example.com,MX,3600,0.48,True,cache,NOERROR,False
l2_learn,1785385667.2334294,mob1,10.8.0.1,root1,10.1.0.1,news.portal.org,A,90,144.19,,authoritative,NOERROR,False
l2_learn,1785385668.984931,corp2,10.7.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.4,True,cache,NOERROR,False
l2_learn,1785385672.088354,corp2,10.7.0.2,root1,10.1.0.1,example.com,A,300,0.48,True,cache,NOERROR,False
l2_learn,1785385673.5013587,corp2,10.7.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.21,True,cache,NOERROR,False
l2_learn,1785385675.1341176,mob1,10.8.0.1,root1,10.1.0.1,iot-hub.device.net,A,600,0.43,True,cache,NOERROR,False
l2_learn,1785385676.7669415,home1,10.9.0.1,root1,10.1.0.1,game.server.gg,A,15,104.11,,authoritative,NOERROR,False
l2_learn,1785385677.419332,mob1,10.8.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,0.28,True,cache,NOERROR,False
l2_learn,1785385678.975314,mob2,10.8.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.11,True,cache,NOERROR,False
l2_learn,1785385681.506079,home2,10.9.0.2,root1,10.1.0.1,malware.bad.evil,A,0,816.1,False,authoritative,SERVFAIL,True
l2_learn,1785385683.594167,home1,10.9.0.1,root1,10.1.0.1,api.service.io,A,120,0.37,True,cache,NOERROR,False
l2_learn,1785385684.4500992,corp1,10.7.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,0.36,True,cache,NOERROR,False
l2_learn,1785385687.1940982,corp1,10.7.0.1,root1,10.1.0.1,news.portal.org,A,90,1005.21,False,authoritative,NOERROR,False
l2_learn,1785385690.9353907,corp1,10.7.0.1,root1,10.1.0.1,social.media.app,A,60,184.6,False,recursive,NOERROR,False
l2_learn,1785385693.8300974,mob1,10.8.0.1,root1,10.1.0.1,api.service.io,A,120,0.13,True,cache,NOERROR,False
l2_learn,1785385697.398085,mob1,10.8.0.1,root1,10.1.0.1,malware.bad.evil,A,0,133.17,False,authoritative,NOERROR,True
l2_learn,1785385701.5589206,corp2,10.7.0.2,root1,10.1.0.1,game.server.gg,A,15,32.1,False,authoritative,NOERROR,False
l2_learn,1785385703.6732943,mob1,10.8.0.1,root1,10.1.0.1,video.stream.tv,A,30,0.03,False,authoritative,NOERROR,False
l2_learn,1785385706.0761302,mob1,10.8.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.11,True,cache,NOERROR,False
l2_learn,1785385710.9701152,corp1,10.7.0.1,root1,10.1.0.1,iot-hub.device.net,A,600,34.72,,authoritative,NOERROR,False
l2_learn,1785385712.8214316,corp1,10.7.0.1,root1,10.1.0.1,api.service.io,A,120,0.41,True,cache,NOERROR,False
l2_learn,1785385714.1652167,mob2,10.8.0.2,root1,10.1.0.1,cloud.storage.io,AAAA,120,297.73,,recursive,NOERROR,False
l2_learn,1785385715.1913698,mob1,10.8.0.1,root1,10.1.0.1,game.server.gg,A,15,0.01,,authoritative,NOERROR,False
l2_learn,1785385717.0138886,home2,10.9.0.2,root1,10.1.0.1,social.media.app,A,60,95.65,,authoritative,NOERROR,False
l2_learn,1785385720.4504948,mob2,10.8.0.2,root1,10.1.0.1,login.secure.bank,A,180,0.34,True,cache,NOERROR,False
l2_learn,1785385721.864991,home2,10.9.0.2,root1,10.1.0.1,social.media.app,A,60,0.15,True,cache,NOERROR,False
l2_learn,1785385725.102098,corp1,10.7.0.1,root1,10.1.0.1,game.server.gg,A,15,1472.4,False,authoritative,NOERROR,False
l2_learn,1785385728.448345,home1,10.9.0.1,root1,10.1.0.1,social.media.app,A,60,0.03,,recursive,NOERROR,False
l2_learn,1785385731.3903737,corp2,10.7.0.2,root1,10.1.0.1,news.portal.org,A,90,94.46,,authoritative,NOERROR,False
l2_learn,1785385732.403453,mob1,10.8.0.1,root1,10.1.0.1,video.stream.tv,A,30,0.39,True,cache,NOERROR,False
l2_learn,1785385735.4721758,corp1,10.7.0.1,root1,10.1.0.1,search.engine.com,A,45,29.97,,authoritative,NOERROR,False
l2_learn,1785385739.1448662,mob2,10.8.0.2,root1,10.1.0.1,news.portal.org,A,90,172.45,False,authoritative,NOERROR,False
l2_learn,1785385742.0700097,home2,10.9.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.5,True,cache,NOERROR,False
l2_learn,1785385745.971609,home2,10.9.0.2,root1,10.1.0.1,news.portal.org,A,90,96.48,False,authoritative,NOERROR,False
l2_learn,1785385749.3941212,home1,10.9.0.1,root1,10.1.0.1,search.engine.com,A,45,86.14,False,authoritative,NOERROR,False
l2_learn,1785385750.6395996,mob2,10.8.0.2,root1,10.1.0.1,api.service.io,A,120,0.17,True,cache,NOERROR,False
l2_learn,1785385751.5024571,corp2,10.7.0.2,root1,10.1.0.1,mail.example.com,MX,3600,0.41,True,cache,NOERROR,False
l2_learn,1785385752.686095,mob1,10.8.0.1,root1,10.1.0.1,c2.hidden.onion,A,0,0.02,False,authoritative,SERVFAIL,True
l2_learn,1785385756.2426794,mob1,10.8.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.24,True,cache,NOERROR,False
l2_learn,1785385758.810087,home2,10.9.0.2,root1,10.1.0.1,mail.example.com,MX,3600,0.21,True,cache,NOERROR,False
l2_learn,1785385761.686081,mob1,10.8.0.1,root1,10.1.0.1,malware.bad.evil,A,0,420.02,False,authoritative,SERVFAIL,True
l2_learn,1785385762.8202102,mob1,10.8.0.1,root1,10.1.0.1,search.engine.com,A,45,241.81,False,recursive,NOERROR,False
l2_learn,1785385766.5661602,corp1,10.7.0.1,root1,10.1.0.1,malware.bad.evil,A,0,47.98,False,authoritative,NOERROR,True
l2_learn,1785385767.674097,home2,10.9.0.2,root1,10.1.0.1,api.service.io,A,120,658.44,False,recursive,NOERROR,False
l2_learn,1785385771.6692526,home1,10.9.0.1,root1,10.1.0.1,iot-hub.device.net,A,600,0.31,True,cache,NOERROR,False
l2_learn,1785385773.0861042,mob1,10.8.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.45,True,cache,NOERROR,False
l2_learn,1785385774.1977758,home2,10.9.0.2,root1,10.1.0.1,search.engine.com,A,45,284.14,,recursive,NOERROR,False
l2_learn,1785385774.8710527,corp1,10.7.0.1,root1,10.1.0.1,api.service.io,A,120,35.09,False,authoritative,NOERROR,False
l2_learn,1785385779.804327,mob1,10.8.0.1,root1,10.1.0.1,login.secure.bank,A,180,0.36,True,cache,NOERROR,False
l2_learn,1785385781.8552766,home2,10.9.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.48,True,cache,NOERROR,False
l2_learn,1785385785.3660903,mob1,10.8.0.1,root1,10.1.0.1,example.com,A,300,133.95,False,authoritative,NOERROR,False
l2_learn,1785385789.0853045,mob2,10.8.0.2,root1,10.1.0.1,c2.hidden.onion,A,0,465.69,,recursive,SERVFAIL,True
l2_learn,1785385791.8180888,home2,10.9.0.2,root1,10.1.0.1,social.media.app,A,60,753.3,False,authoritative,NOERROR,False
l2_learn,1785385794.5019348,home1,10.9.0.1,root1,10.1.0.1,mail.example.com,MX,3600,85.38,,authoritative,NOERROR,False
l2_learn,1785385796.8699195,mob2,10.8.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.34,True,cache,NOERROR,False
l2_learn,1785385798.0417051,mob2,10.8.0.2,root1,10.1.0.1,malware.bad.evil,A,0,160.0,,authoritative,NOERROR,True
l2_learn,1785385802.1421647,mob1,10.8.0.1,root1,10.1.0.1,video.stream.tv,A,30,145.79,False,authoritative,NOERROR,False
l2_learn,1785385806.276716,home1,10.9.0.1,root1,10.1.0.1,news.portal.org,A,90,85.37,False,authoritative,NOERROR,False
l2_learn,1785385808.1740892,mob2,10.8.0.2,root1,10.1.0.1,api.service.io,A,120,313.12,False,recursive,NOERROR,False
l2_learn,1785385811.2181027,mob1,10.8.0.1,root1,10.1.0.1,malware.bad.evil,A,0,366.96,False,recursive,SERVFAIL,True
l2_learn,1785385814.6040835,home2,10.9.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.47,True,cache,NOERROR,False
l2_learn,1785385817.462512,home2,10.9.0.2,root1,10.1.0.1,news.portal.org,A,90,0.28,True,cache,NOERROR,False
l2_learn,1785385818.9388497,corp2,10.7.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.18,True,cache,NOERROR,False
l2_learn,1785385822.6566415,corp1,10.7.0.1,root1,10.1.0.1,c2.hidden.onion,A,0,131.45,False,recursive,NOERROR,True
l2_learn,1785385824.9947102,home2,10.9.0.2,root1,10.1.0.1,video.stream.tv,A,30,95.61,False,authoritative,NOERROR,False
l2_learn,1785385828.0660875,corp2,10.7.0.2,root1,10.1.0.1,cdn.example.com,CNAME,60,35.22,,authoritative,NOERROR,False
l2_learn,1785385830.123191,home2,10.9.0.2,root1,10.1.0.1,cdn.example.com,CNAME,60,95.41,False,authoritative,NOERROR,False
l2_learn,1785385833.514087,mob1,10.8.0.1,root1,10.1.0.1,malware.bad.evil,A,0,419.67,False,recursive,NOERROR,True
l2_learn,1785385837.021572,home2,10.9.0.2,root1,10.1.0.1,login.secure.bank,A,180,99.13,False,authoritative,NOERROR,False
l2_learn,1785385838.2460823,corp1,10.7.0.1,root1,10.1.0.1,video.stream.tv,A,30,257.93,False,recursive,NOERROR,False
l2_learn,1785385840.2468617,mob2,10.8.0.2,root1,10.1.0.1,iot-hub.device.net,A,600,0.44,True,cache,NOERROR,False
l2_learn,1785385843.3960357,home2,10.9.0.2,root1,10.1.0.1,c2.hidden.onion,A,0,0.03,False,recursive,NXDOMAIN,True
l2_learn,1785385846.6715047,mob1,10.8.0.1,root1,10.1.0.1,cdn.example.com,CNAME,60,307.46,False,recursive,NOERROR,False
l2_learn,1785385848.3605456,mob1,10.8.0.1,root1,10.1.0.1,cdn.example.com,CNAME,60,0.4,True,cache,NOERROR,False
l2_learn,1785385851.142195,mob1,10.8.0.1,root1,10.1.0.1,login.secure.bank,A,180,513.17,False,authoritative,NOERROR,False
l2_learn,1785385854.326185,home2,10.9.0.2,root1,10.1.0.1,search.engine.com,A,45,0.01,False,authoritative,NOERROR,False
l2_learn,1785385857.4999807,home2,10.9.0.2,root1,10.1.0.1,login.secure.bank,A,180,0.26,True,cache,NOERROR,False
l2_learn,1785385858.673852,corp2,10.7.0.2,root1,10.1.0.1,search.engine.com,A,45,30.26,False,authoritative,NOERROR,False
l2_learn,1785385861.4408777,mob1,10.8.0.1,root1,10.1.0.1,social.media.app,A,60,0.02,,authoritative,NOERROR,False
l2_learn,1785385864.0101533,home1,10.9.0.1,root1,10.1.0.1,c2.hidden.onion,A,0,369.47,,authoritative,SERVFAIL,True
l2_learn,1785385865.5623431,mob2,10.8.0.2,root1,10.1.0.1,news.portal.org,A,90,735.68,False,recursive,NOERROR,False
l2_learn,1785385869.4109294,mob2,10.8.0.2,root1,10.1.0.1,cdn.example.com,CNAME,60,0.02,,recursive,NOERROR,False
l2_learn,1785385871.1872425,mob2,10.8.0.2,root1,10.1.0.1,video.stream.tv,A,30,0.04,False,recursive,NOERROR,False
l2_learn,1785385873.0594084,corp1,10.7.0.1,root1,10.1.0.1,cdn.example.com,CNAME,60,65.24,False,recursive,NOERROR,False
l2_learn,1785385876.552468,corp2,10.7.0.2,root1,10.1.0.1,login.secure.bank,A,180,33.76,False,authoritative,NOERROR,False
l2_learn,1785385877.511169,home1,10.9.0.1,root1,10.1.0.1,cloud.storage.io,AAAA,120,144.6,False,authoritative,NOERROR,False
l2_learn,1785385878.4921982,mob1,10.8.0.1,root1,10.1.0.1,example.com,A,300,0.39,True,cache,NOERROR,False
l2_learn,1785385879.3010745,corp1,10.7.0.1,root1,10.1.0.1,c2.hidden.onion,A,0,1354.7,False,authoritative,NOERROR,True
l2_learn,1785385882.923857,corp1,10.7.0.1,root1,10.1.0.1,game.server.gg,A,15,33.81,False,authoritative,NOERROR,False
l2_learn,1785385886.538095,corp2,10.7.0.2,root1,10.1.0.1,example.com,A,300,30.37,False,authoritative,NOERROR,False
l2_learn,1785385890.2060895,home2,10.9.0.2,root1,10.1.0.1,example.com,A,300,537.94,False,recursive,NOERROR,False
l2_learn,1785385891.199251,home1,10.9.0.1,root1,10.1.0.1,login.secure.bank,A,180,178.46,False,recursive,NOERROR,False
l2_learn,1785385895.2937202,home2,10.9.0.2,root1,10.1.0.1,login.secure.bank,A,180,0.17,True,cache,NOERROR,False
l2_learn,1785385897.730106,home2,10.9.0.2,root1,10.1.0.1,api.service.io,A,120,0.02,False,authoritative,NOERROR,False
